CLIENT_VAT;TIMO_ID;AT_KM;CZ_KM;DE_KM;EE_KM;HU_KM;LT_KM;LV_KM;PL_KM;SE_KM;SK_KM;COMPANY_LP;ADRESS_LP;COD_LP;CITY_LP;LATITUDE_LP;LONGTITUDE_LP;START_LOAD_DATA;START_LOAD_TIME;END_LOAD_DATA;END_LOAD_TIME;COMPANY_DP;ADRESS_DP;COD_DP;CITY_DP;LATITUDE_DP;LONGTITUDE_DP;START_DELIVERY_DATA;START_DELIVERY_TIME;END_DELIVERY_DATA;END_DELIVERY_TIME;VEHICLE_TYPE;BODY_TYPE;LOAD_UNLOAD_METHOD;EPALE;GOODS_TYPE;TEMP_MIN;TEMP_MAX;EURO;LDM;M3;HEIGHT;WIDTH;TONS;REQUIREMENTS;OTHER_COSTS;QTY_LOADS;QTY_DELIVERIES;SOURCE;PAYMENT TERM;DOCUMENTS_BY;CARGO_VALUE_EURO;CUSTOMS;TIME_OF_ENTRY
;;;204.70;;;;;;229.00;;;;;PL44100;;;;24.05.2021;9:00;24.05.2021;9:00;;;CZ25267;;;;25.05.2021;8:00;25.05.2021;8:00;Rigid truck, Articulated truck;Refrigerator;Back;0;Margarine;7;7;580;13.6;;;;21;;;1;1;;;;;;
;;;139.50;;;;;;530.80;328.80;;;;CZ25101;;;;25.05.2021;14:00;25.05.2021;14:00;;;SE44361;;;;27.05.2021;10:00;27.05.2021;10:00;Rigid truck, Articulated truck;Refrigerator;Back;0;Other;15;18;1500;13.6;;;;22;;-300;1;1;;;;;;
;;;;;;;;;316.50;309.10;;;;PL72100;;;;27.05.2021;9:00;27.05.2021;12:00;;;SE43533;;;;31.05.2021;8:00;31.05.2021;15:00;Rigid truck, Articulated truck;Tautliner, Refrigerator;Back;0;Wallpapers;;;1300;13.6;;;;5.754;;-300;1;1;;;;;;
;;;;;;;;;276.60;303.70;;;;PL78300;;;;01.06.2021;12:00;01.06.2021;14:00;;;SE40126;;;;03.06.2021;8:00;03.06.2021;15:00;Rigid truck, Articulated truck;Refrigerator;Back;;Frozen Food;-28;-21;1300;13.6;;;;22;;-300;1;1;;;;;;
;;;;;;;;;403.10;;;;;PL78650;;;;03.06.2021;11:00;03.06.2021;11:00;;;PL59222;;;;04.06.2021;10:45;04.06.2021;10:45;Rigid truck, Articulated truck;Tautliner;Back;;Water;;;279.6420582;13.6;;;;20.33;;;1;1;;;;;;
;;;204.70;;;;;;303.60;;;;;PL40386;;;;14.06.2021;;14.06.2021;15:52;;;CZ25267;;;;15.06.2021;15:52;15.06.2021;;Rigid truck, Articulated truck;Refrigerator;Back;;Margarine;2;7;600;13.6;;;;22;;;1;1;;;;;;
;;;275.30;;;;;;;;451.90;;;CZ16000;;;;16.06.2021;8:00;16.06.2021;14:00;;;SK98414;;;;17.06.2021;8:00;17.06.2021;14:00;Rigid truck, Articulated truck;Refrigerator;Back;;Frozen;-20;-20;600;13.6;;;;22;;;1;2;;;;;;
;;;47.10;;;;;;582.90;107.70;;;;CZ74773;;;;22.06.2021;21:00;22.06.2021;21:00;;;SE26538;;;;25.06.2021;7:00;25.06.2021;13:00;Rigid truck, Articulated truck;Refrigerator;Back;;Bisquits;11;19;1450;13.6;;;;22.5;;-300;1;1;;;;;;
;;;;;;;179.00;;889.80;;;;;PL73110;;;;25.06.2021;;25.06.2021;;;;LT21401;;;;28.06.2021;;28.06.2021;;Rigid truck, Articulated truck;Tautliner, Refrigerator;Back;;;;;800;13.6;;;;19;;;1;1;;;;;;
;;;;;;;169.20;;577.80;;;;;LT25121;;;;28.06.2021;;28.06.2021;;;;PL37111;;;;29.06.2021;;29.06.2021;;Rigid truck, Articulated truck;Tautliner, Refrigerator;Back;;;;;400;13.6;;;;22;;;1;1;;;;;;
